deficit_bucket,time_bucket,venue,n_games,n_wins,n_observations,trailing_team_win_pct,ci_lower,ci_upper,adequate_sample
5,25,away,858,224,896,0.26107226107226106,0.23279389914827628,0.29148063111343303,True
5,26,away,920,227,964,0.2467391304347826,0.21997205076116694,0.27561247368544806,True
5,27,away,922,232,965,0.25162689804772237,0.22468568096425545,0.28062926707869285,True
5,28,away,874,213,907,0.2437070938215103,0.2164059694954899,0.27325139010104776,True
5,29,away,829,214,852,0.25814234016887816,0.22951591955825246,0.28899996629567215,True
5,30,away,1040,274,1099,0.26346153846153847,0.23759427640273084,0.29106984275097986,True
5,31,away,1077,268,1134,0.2488393686165274,0.22394146855102967,0.2755226527411189,True
5,32,away,1078,268,1133,0.24860853432282004,0.2237305283058479,0.2752719134564211,True
5,33,away,1054,281,1097,0.2666034155597723,0.24079054607917114,0.29411146571541136,True
5,34,away,1094,271,1133,0.2477148080438757,0.2230463214449036,0.27414890234694395,True
5,35,away,1143,282,1192,0.24671916010498687,0.22260237263992894,0.27253278813554344,True
5,36,away,1168,281,1221,0.2405821917808219,0.21694449063564403,0.2659207703347806,True
5,37,away,1025,249,1057,0.24292682926829268,0.21766388207294643,0.2701095516606818,True
5,38,away,804,181,831,0.22512437810945274,0.19760003240325363,0.25526300411281583,True
5,39,away,200,47,200,0.235,0.18157345326946356,0.29841492986724655,True
6,0.0-0.5,away,940,0,1232,0.0,0.0,0.004070174486905429,True
6,0.5-1.0,away,709,5,857,0.007052186177715092,0.0030158799988080198,0.01640161752097758,True
6,1.0-1.5,away,403,8,426,0.019851116625310174,0.01009231796421362,0.03867752268138407,True
6,1.5-2.0,away,345,6,353,0.017391304347826087,0.00799423984751081,0.03741777523325937,True
6,2,away,619,30,668,0.048465266558966075,0.034156538090132804,0.0683440013728703,True
6,3,away,611,50,650,0.08183306055646482,0.06262180766214001,0.10626982231214932,True
6,4,away,601,62,650,0.10316139767054909,0.08131017527905118,0.13005359335061978,True
6,5,away,628,75,656,0.11942675159235669,0.09634867705176832,0.14713260053425953,True
6,6,away,626,90,661,0.14376996805111822,0.11845550884356322,0.1734299429906757,True
6,7,away,595,84,638,0.1411764705882353,0.11549449112280692,0.1714621932491539,True
6,8,away,610,99,645,0.16229508196721312,0.13516276526351936,0.19365431067268304,True
6,9,away,533,92,559,0.1726078799249531,0.14289668420759127,0.20700466471916856,True
6,10,away,720,130,773,0.18055555555555555,0.15417766115693984,0.21032418565595398,True
6,11,away,663,125,715,0.1885369532428356,0.16058932922157476,0.22007318493471056,True
6,12,away,728,140,777,0.19230769230769232,0.16532307153961046,0.2225226043552826,True
6,13,away,711,140,760,0.19690576652601968,0.16933745907516104,0.22773176577129442,True
6,14,away,718,138,756,0.19220055710306408,0.16504688555065566,0.22263041096425845,True
6,15,away,724,142,759,0.19613259668508287,0.16884460957446787,0.22662825155355784,True
6,16,away,753,143,796,0.1899070385126162,0.16349253468493744,0.2194695012285219,True
6,17,away,739,139,778,0.1880920162381597,0.16155618884352124,0.21785390342917865,True
6,18,away,731,156,769,0.213406292749658,0.18524306698466636,0.2445660238452485,True
6,19,away,604,114,625,0.18874172185430463,0.15953859399490902,0.2218791964294384,True
6,20,away,850,178,914,0.20941176470588235,0.1833953928100751,0.23804296296926375,True
6,21,away,852,188,892,0.22065727699530516,0.19409964677929598,0.2497226680041873,True
6,22,away,799,160,846,0.2002503128911139,0.17396501736666242,0.22940421511954656,True
6,23,away,785,165,827,0.21019108280254778,0.18313398980924242,0.24007087159766108,True
6,24,away,870,202,908,0.23218390804597702,0.20534128762227402,0.26138128543902234,True
6,25,away,873,196,914,0.22451317296678122,0.1980750452889579,0.25336521484468544,True
6,26,away,886,223,921,0.2516930022573363,0.2242297244787278,0.2813002484962376,True
6,27,away,812,208,851,0.2561576354679803,0.2273303534886535,0.2872813064217997,True
6,28,away,844,186,884,0.22037914691943128,0.19371598777337365,0.24957624983327362,True
6,29,away,752,177,771,0.23537234042553193,0.2064431416526133,0.2669915039133359,True
6,30,away,994,228,1056,0.22937625754527163,0.20431054407722102,0.25652572492579506,True
6,31,away,998,226,1059,0.22645290581162325,0.20156336805609656,0.253440297193979,True
6,32,away,934,193,977,0.20663811563169165,0.18189807589414456,0.23378150155262264,True
6,33,away,975,240,1024,0.24615384615384617,0.22014534348676565,0.27415485789413196,True
6,34,away,911,210,951,0.2305159165751921,0.20433220641762387,0.25896286018188364,True
6,35,away,1005,210,1052,0.208955223880597,0.1849507066737986,0.23517629839815718,True
6,36,away,912,211,958,0.23135964912280702,0.20515139462814214,0.2598215875993522,True
6,37,away,747,166,778,0.2222222222222222,0.19387207103674015,0.253414813440625,True
6,38,away,434,93,442,0.21428571428571427,0.1782759264310758,0.2553091874548591,True
6,39,away,45,10,45,0.2222222222222222,0.12544551866005632,0.3626957379736329,True
7,0.0-0.5,away,894,0,1128,0.0,0.0,0.004278705731612346,True
7,0.5-1.0,away,752,2,906,0.0026595744680851063,0.0007296392177061828,0.009645021293173343,True
7,1.0-1.5,away,423,5,460,0.01182033096926714,0.005059143112561308,0.027368811426077846,True
7,1.5-2.0,away,338,6,352,0.01775147928994083,0.008160306722298758,0.03818162474537516,True
7,2,away,608,14,659,0.023026315789473683,0.01376484143412909,0.038277386488915044,True
7,3,away,579,32,634,0.055267702936096716,0.03941768860641272,0.0769803173011958,True
7,4,away,589,43,625,0.0730050933786078,0.0546487876402895,0.0968952335620013,True
7,5,away,639,55,675,0.08607198748043818,0.06672337449526393,0.11036784051011218,True
7,6,away,591,64,625,0.10829103214890017,0.0857203899056527,0.13592113617456764,True
7,7,away,606,71,638,0.11716171617161716,0.09393377978014841,0.14521291011440784,True
7,8,away,629,74,668,0.11764705882352941,0.09475832797980306,0.14517785826332633,True
7,9,away,525,77,553,0.14666666666666667,0.11897214402930788,0.179494542403832,True
7,10,away,684,110,736,0.1608187134502924,0.13519361433912222,0.19023247213194902,True
7,11,away,744,130,782,0.17473118279569894,0.14913420080446615,0.2036699224216288,True
7,12,away,701,110,755,0.15691868758915833,0.1318712024857497,0.18570596662572156,True
7,13,away,670,98,719,0.14626865671641792,0.12152749805589769,0.1750430906403182,True
7,14,away,654,100,698,0.1529051987767584,0.12735501536916,0.18250924374732036,True
7,15,away,684,118,716,0.17251461988304093,0.146048335708509,0.20263892019459423,True
7,16,away,696,120,735,0.1724137931034483,0.1461677684518932,0.20225621777584749,True
7,17,away,716,125,761,0.17458100558659218,0.14853185506991318,0.20410350248652703,True
7,18,away,751,125,801,0.16644474034620507,0.1415157517076901,0.19476884098036523,True
7,19,away,620,127,653,0.20483870967741935,0.1749338648573732,0.23837874526673522,True
7,20,away,770,143,822,0.18571428571428572,0.15983071266008778,0.21471829065015038,True
7,21,away,802,146,858,0.18204488778054864,0.15687443088612021,0.2102468495243228,True
7,22,away,757,142,798,0.18758256274768825,0.16137593285261242,0.21694407488618633,True
7,23,away,778,140,816,0.17994858611825193,0.1545480708466418,0.20849426407132626,True
7,24,away,764,143,802,0.18717277486910994,0.16110422569977528,0.2163715453446693,True
7,25,away,786,160,828,0.2035623409669211,0.1768862746815575,0.23312201052398246,True
7,26,away,744,144,780,0.1935483870967742,0.16676266390258895,0.22348254310381452,True
7,27,away,786,165,822,0.2099236641221374,0.1828973503437878,0.23977170127365044,True
7,28,away,778,163,827,0.2095115681233933,0.18237670804612527,0.23950107384729147,True
7,29,away,686,131,708,0.19096209912536444,0.16330078369493847,0.22206536412798203,True
7,30,away,886,156,938,0.17607223476297967,0.15240574325786943,0.2025356305776536,True
7,31,away,931,184,977,0.19763694951664876,0.17332184645064536,0.22443708939474277,True
7,32,away,859,162,899,0.18859138533178113,0.16383921330190182,0.21611650510574099,True
7,33,away,843,148,883,0.17556346381969157,0.15136878048487978,0.20270168558575252,True
7,34,away,821,161,861,0.1961023142509135,0.17038428164978717,0.2246510802912207,True
7,35,away,756,130,797,0.17195767195767195,0.14673430023768733,0.20049807029848757,True
7,36,away,662,126,693,0.1903323262839879,0.16224736654018174,0.22199056632553288,True
7,37,away,467,86,480,0.1841541755888651,0.15162473068591076,0.22183759719675722,True
7,38,away,206,49,209,0.23786407766990292,0.18485442327234958,0.3004716512524348,True
7,39,away,5,1,5,0.2,0.03622316096978745,0.6244717358814613,False
8,0.0-0.5,away,880,0,1093,0.0,0.0,0.0043464801837795365,True
8,0.5-1.0,away,755,2,908,0.0026490066225165563,0.0007267387878649896,0.009606906600052593,True
8,1.0-1.5,away,492,5,532,0.01016260162601626,0.004348384943432513,0.023566981576843313,True
8,1.5-2.0,away,349,0,367,0.0,0.0,0.010887605089649293,True
8,2,away,644,15,716,0.023291925465838508,0.0141650153191825,0.03807244519585698,True
8,3,away,612,19,664,0.03104575163398693,0.01996366409893687,0.04797848206332302,True
